gene200	GO:0016477 GO:0003779 GO:0005925 GO:0007044
gene201	GO:0043231 GO:0044444 GO:0009987 GO:0016020
gene202	GO:0019843 GO:0030529
gene203	GO:0044464
gene204	GO:0005625 GO:0006548 GO:0016211 GO:0009058 GO:0005829 GO:0004397
gene205	GO:0016571 GO:0005737 GO:0035242 GO:0019919 GO:0042054 GO:0035241
gene206	GO:0016740
gene207	GO:0005576 GO:0008061 GO:0006030
gene208	GO:0004152 GO:0005743 GO:0006207
gene209	GO:0016810 GO:0005524 GO:0006807 GO:0003952 GO:0009435
gene210	GO:0006120 GO:0008137 GO:0006810 GO:0016021 GO:0031966
gene211	GO:0005789 GO:0016787
gene212	GO:0006468 GO:0005794 GO:0008887
gene213	GO:0016811 GO:0005739 GO:0046872 GO:0006355 GO:0006471 GO:0005515 GO:0016020 GO:0003950
gene214	GO:0003887 GO:0006260 GO:0006297 GO:0005654 GO:0005515
gene215	GO:0008759 GO:0016301 GO:0016310 GO:0008299 GO:0005524 GO:0016829 GO:0009245 GO:0016126
gene216	GO:0044464
gene217	GO:0047184 GO:0005795 GO:0006663 GO:0047192 GO:0016044 GO:0005783
gene218	GO:0008103 GO:0004252 GO:0004176 GO:0042052 GO:0007317 GO:0007029 GO:0007030 GO:0016320 GO:0045169 GO:0008104 GO:0000502 GO:0006508 GO:0005783 GO:0005811 GO:0005524
gene219	GO:0046872 GO:0043169 GO:0030425 GO:0046529 GO:0034769 GO:0004222 GO:0005886 GO:0007561 GO:0008152 GO:0048477
gene220	GO:0005856 GO:0030833 GO:0030027 GO:0006911
gene221	GO:0008078 GO:0007476 GO:0007298 GO:0030036 GO:0007424
gene222	GO:0016020
gene223	GO:0030098 GO:0045944 GO:0048821 GO:0003677 GO:0045639 GO:0044424
gene224	GO:0003824
gene225	GO:0030036 GO:0035147 GO:0003779
gene226	GO:0005737 GO:0006631 GO:0016878
gene227	GO:0003824
gene228	GO:0005975 GO:0051287 GO:0004367 GO:0006973 GO:0055114 GO:0046168 GO:0004368 GO:0009331 GO:0042803
gene229	GO:0055114 GO:0016491 GO:0005739 GO:0005488
